PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,Turbidity,Obstacle
511.24,421.8,419.96,12.71,-1.96,151.52,154.0,86.02,27.0,Mine
511.24,421.82,419.95,-39.1,-26.39,152.49,153.0,10045.94,12.0,Mine
511.24,421.71,419.84,-31.28,-55.72,152.49,153.0,51.81,26.0,Mine
511.24,421.71,419.95,-18.57,10054.74,151.52,154.0,78.2,6.0,Mine
511.24,421.7,419.88,13.69,-130.99,152.49,155.0,69.4,,Mine
511.24,421.7,419.82,6.17,-156.4,153.47,155.0,1.28,12.0,Mine
511.24,421.8,419.93,-136.85,-110.46,152.49,155.0,-14.66,25.0,Mine
511.24,421.73,419.86,-1.96,94.82,153.47,156.0,10005.86,29.0,Mine
511.24,421.71,419.96,322.58,210.17,153.47,154.0,509.29,38.0,Mine
511.24,421.73,419.86,371.46,219.94,153.47,155.0,9807.43,14.0,Mine
511.24,421.7,419.95,373.41,246.33,152.49,155.0,510.26,36.0,Mine
511.24,421.68,419.96,320.63,200.39,152.49,153.0,511.24,42.0,Mine
511.24,421.7,419.88,361.68,283.48,153.47,154.0,9806.45,17.0,Mine
511.24,421.7,419.84,364.61,289.35,153.47,155.0,510.26,22.0,Mine
511.24,421.7,419.86,370.48,277.61,153.47,155.0,509.29,36.0,Mine
511.24,421.71,419.84,384.16,310.85,153.47,155.0,509.29,27.0,Mine
511.24,421.71,419.96,384.16,-13.69,153.47,155.0,509.29,39.0,Mine
511.24,421.7,419.98,405.67,237.54,153.47,155.0,510.26,50.0,Mine
511.24,421.82,419.98,409.58,9808.41,154.45,156.0,509.29,18.0,Mine
511.24,421.73,419.88,340.18,9807.43,154.45,155.0,509.29,2.0,Mine
511.24,421.7,419.86,370.48,9807.43,154.45,156.0,509.29,14.0,Mine
511.24,421.7,419.98,360.7,9807.43,154.45,156.0,509.29,17.0,Mine
511.24,421.82,419.98,376.34,9807.43,154.45,156.0,28.33,28.0,Mine
511.24,421.8,419.98,345.06,9942.33,153.47,155.0,509.29,8.0,Mine
511.24,421.75,419.88,411.53,9944.28,154.45,156.0,510.26,9.0,Mine
511.24,421.71,419.86,385.14,9808.41,152.49,154.0,508.31,18.0,Mine
511.24,421.73,419.88,404.69,506.35,154.45,155.0,510.26,38.0,Mine
