511.24,421.8,419.96,358.75,301.08,152.49,155,504.4,6,Negative
511.24,421.84,419.96,377.32,305.96,152.49,155,503.42,7,Negative
511.24,421.75,419.88,384.16,291.3,152.49,154,503.42,8,Negative
511.24,421.73,420.0,378.3,262.95,152.49,154,503.42,9,Negative
511.24,421.85,419.98,365.59,261.97,152.49,155,503.42,10,Negative
511.24,421.73,419.88,369.5,281.52,151.52,155,503.42,11,Negative
511.24,421.73,419.88,385.14,303.03,152.49,155,504.4,12,Negative
511.24,421.73,419.84,387.1,304.01,152.49,155,503.42,13,Negative
511.24,421.68,419.91,334.31,215.05,152.49,154,503.42,14,Negative
511.24,421.84,419.98,368.52,259.04,151.52,155,503.42,15,Negative
511.24,421.68,419.82,375.37,280.55,152.49,154,504.4,16,Negative
511.24,421.7,419.81,372.43,257.09,152.49,155,504.4,17,Negative
511.24,421.7,419.93,362.66,261.97,152.49,155,503.42,18,Negative
511.24,421.8,419.93,368.52,295.21,152.49,154,504.4,19,Negative
511.24,421.7,419.82,386.12,313.78,151.52,155,503.42,20,Negative
511.24,421.68,419.82,384.16,309.87,152.49,154,502.44,1,Negative
511.24,421.82,419.96,367.55,265.88,152.49,154,504.4,2,Negative
511.24,421.82,419.96,363.64,270.77,152.49,154,503.42,3,Negative
511.24,421.71,419.81,376.34,304.99,151.52,155,503.42,4,Negative
511.24,421.78,419.95,367.55,-145.65,152.49,154,504.4,5,Negative
511.24,421.8,419.96,365.59,511.24,151.52,154,503.42,6,Negative
511.24,421.8,419.96,381.23,511.24,151.52,155,503.42,7,Negative
511.24,421.68,419.86,382.21,511.24,151.52,155,503.42,8,Negative
511.24,421.7,419.95,368.52,511.24,152.49,154,504.4,9,Negative
511.24,421.82,419.98,387.1,511.24,152.49,154,504.4,10,Negative
511.24,421.7,419.82,393.94,511.24,152.49,154,504.4,11,Negative
511.24,421.73,419.89,384.16,511.24,151.52,155,504.4,12,Negative
511.24,421.84,419.98,369.5,511.24,151.52,154,504.4,13,Negative
511.24,421.75,419.88,329.42,511.24,152.49,154,503.42,14,Negative
511.24,421.84,419.98,349.95,511.24,152.49,154,503.42,15,Negative
511.24,421.68,419.88,368.52,511.24,152.49,155,503.42,16,Negative
511.24,421.68,419.88,393.94,511.24,151.52,155,504.4,17,Negative
511.24,421.75,419.95,394.92,511.24,152.49,155,503.42,18,Negative
511.24,421.84,419.96,375.37,510.26,152.49,154,504.4,19,Negative
511.24,421.73,419.84,159.34,105.57,154.45,157,509.29,21,Mine
511.24,421.73,419.84,157.38,511.24,153.47,156,510.26,35,Mine
511.24,421.75,420,157.38,511.24,154.45,155,510.26,27,Mine
511.24,421.77,419.96,159.34,86.02,156.4,158,510.26,33,Mine
511.24,421.84,419.96,159.34,147.61,156.4,158,510.26,25,Mine
511.24,421.73,419.86,160.31,9952.1,155.43,157,510.26,3,Mine
511.24,421.75,419.86,159.34,9952.1,155.43,157,509.29,19,Mine
511.24,421.85,419.96,160.31,9952.1,156.4,157,509.29,14,Mine
511.24,421.75,419.98,159.34,9951.12,156.4,158,510.26,3,Mine
511.24,421.75,419.88,159.34,9953.08,156.4,158,509.29,28,Mine
511.24,421.73,419.98,159.34,9952.1,155.43,157,509.29,11,Mine
511.24,421.85,419.98,160.31,9951.12,156.4,157,510.26,6,Mine
511.24,421.75,419.86,159.34,9952.1,156.4,157,509.29,11,Mine
511.24,421.75,420,160.31,9951.12,155.43,157,509.29,17,Mine
511.24,421.85,419.95,159.34,9951.12,156.4,157,509.29,13,Mine
511.24,421.73,419.84,159.34,9952.1,155.43,157,509.29,27,Mine
511.24,421.77,419.91,159.34,9951.12,155.43,158,509.29,10,Mine
511.24,421.87,420.01,160.31,9953.08,155.43,157,510.26,1,Mine
511.24,421.77,419.86,160.31,9951.12,156.4,158,510.26,3,Mine
511.24,421.73,419.88,159.34,9951.12,156.4,157,509.29,1,Mine
511.24,421.84,419.95,160.31,9952.1,156.4,157,508.31,14,Mine
511.24,421.77,419.88,160.31,9952.1,156.4,158,510.26,17,Mine
511.24,421.75,419.91,160.31,9952.1,155.43,157,509.29,15,Mine
511.24,421.84,419.96,160.31,9952.1,156.4,158,510.26,7,Mine
511.24,421.71,419.84,157.38,378.3,153.47,155,510.26,33,Mine
511.24,421.75,419.95,157.38,9981.43,152.49,155,510.26,28,Mine
511.24,421.73,419.84,157.38,-44.97,153.47,155,510.26,36,Mine
