PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,metaldetector,Obstacle
511.24,421.71,419.86,385.14,304.99,152.49,155,503.42,517,Negative
511.24,421.71,419.86,384.16,275.66,152.49,154,504.4,586,Negative
511.24,421.75,419.98,363.64,273.7,152.49,154,504.4,528,Negative
511.24,421.84,420.0,373.41,310.85,152.49,154,504.4,585,Negative
511.24,421.75,419.88,385.14,305.96,152.49,154,505.38,588,Negative
511.24,421.75,419.88,379.28,269.79,152.49,155,502.44,501,Negative
511.24,421.82,419.98,363.64,281.52,152.49,154,504.4,582,Negative
511.24,421.85,419.96,385.14,294.23,151.52,155,503.42,563,Negative
511.24,421.85,420.0,365.59,269.79,152.49,155,504.4,596,Negative
511.24,421.75,419.84,368.52,305.96,152.49,155,504.4,514,Negative
511.24,421.75,420.01,385.14,309.87,152.49,154,504.4,539,Negative
511.24,421.84,419.98,386.12,277.61,152.49,154,503.42,1017,Mine
511.24,421.82,419.96,374.39,301.08,152.49,155,504.4,505,Negative
511.24,421.71,419.88,361.68,269.79,151.52,154,503.42,552,Negative
511.24,421.73,419.96,368.52,309.87,152.49,155,504.4,548,Negative
511.24,421.82,419.96,385.14,312.81,151.52,154,503.42,569,Negative
511.24,421.71,419.86,383.19,278.59,152.49,154,505.38,502,Negative
511.24,421.73,419.88,141.74,227.76,151.52,154,34.21,541,Negative
511.24,421.87,419.98,-87.0,88.95,151.52,154,-177.91,526,Negative
511.24,421.75,419.98,-182.8,-46.92,150.54,153,9917.89,592,Mine
511.24,421.73,419.86,10030.3,-174.98,150.54,154,-138.81,512,Mine
511.24,421.73,420.01,9925.71,-192.57,151.52,154,9833.82,566,Mine
511.24,421.85,420.01,9891.5,10050.83,150.54,152,9843.6,576,Mine
511.24,421.75,419.88,9949.17,10052.79,151.52,153,10066.47,596,Mine
511.24,421.71,419.86,-195.5,10043.01,151.52,153,9914.96,1033,Mine
511.24,421.75,419.86,9976.54,10043.01,151.52,153,9910.07,532,Mine
511.24,421.85,419.96,9963.83,9999.02,150.54,153,9857.28,584,Mine
511.24,421.84,419.95,9913.98,10000.98,150.54,154,9826.0,596,Mine
511.24,421.75,419.84,9964.81,-170.09,151.52,154,-167.16,588,Mine
511.24,421.71,419.84,10067.45,-165.2,150.54,153,-54.74,515,Mine
511.24,421.85,419.95,10049.85,-151.52,151.52,154,-73.31,506,Mine
511.24,421.7,419.84,-127.08,-153.47,151.52,154,-5.87,564,Negative
511.24,421.71,419.86,-101.66,-110.46,151.52,154,26.39,500,Negative
511.24,421.82,419.95,-43.99,-69.4,151.52,153,42.03,541,Negative
511.24,421.7,419.86,-21.51,-54.74,150.54,154,58.65,583,Negative
511.24,421.68,419.89,-27.37,-78.2,150.54,153,60.61,1078,Mine
511.24,421.68,419.84,0.98,-16.62,151.52,154,70.38,519,Negative
511.24,421.82,419.96,1.96,-33.24,151.52,154,79.18,531,Negative
511.24,421.84,419.96,-6.84,-47.9,151.52,154,83.09,526,Negative
511.24,421.68,419.84,-3.91,-37.15,151.52,154,82.11,589,Negative
511.24,421.68,419.86,6.84,-21.51,150.54,154,78.2,505,Negative
511.24,421.84,419.96,24.44,2.93,151.52,154,74.29,500,Negative
511.24,421.8,419.96,32.26,4.89,151.52,153,83.09,1058,Mine
511.24,421.84,419.95,-25.42,-61.58,151.52,154,50.83,556,Negative
511.24,421.71,419.86,-18.57,-26.39,151.52,153,33.24,599,Negative
511.24,421.66,419.86,-6.84,-25.42,151.52,154,53.76,599,Negative
511.24,421.78,419.95,5.87,-8.8,151.52,154,69.4,595,Negative
511.24,421.68,419.96,9.78,-11.73,151.52,153,82.11,569,Negative
511.24,421.68,419.86,0.98,-30.3,151.52,154,88.95,573,Negative
511.24,421.71,419.84,-2.93,-35.19,151.52,153,92.86,521,Negative
511.24,421.82,419.96,7.82,-26.39,150.54,153,92.86,568,Negative
511.24,421.66,419.96,18.57,5.87,151.52,153,86.02,597,Negative
511.24,421.66,419.84,27.37,11.73,151.52,154,77.22,540,Negative
511.24,421.68,419.81,33.24,12.71,151.52,154,74.29,576,Negative
511.24,421.8,419.96,34.21,12.71,150.54,153,79.18,538,Negative
511.24,421.78,419.95,19.55,-2.93,151.52,153,83.09,527,Negative
511.24,421.68,419.84,30.3,12.71,151.52,153,78.2,541,Negative
511.24,421.78,419.93,34.21,12.71,151.52,154,76.25,513,Negative
511.24,421.78,419.89,34.21,14.66,151.52,154,79.18,596,Negative
511.24,421.66,419.84,34.21,11.73,151.52,153,86.02,548,Negative
511.24,421.68,419.84,29.33,-10.75,151.52,154,91.89,539,Negative
511.24,421.8,419.95,9.78,-22.48,151.52,154,95.8,1089,Mine
511.24,421.78,419.95,31.28,6.84,151.52,153,76.25,1074,Mine
511.24,421.8,419.89,15.64,17.6,151.52,153,64.52,500,Negative
511.24,421.68,419.82,20.53,9.78,151.52,153,65.49,586,Negative
511.24,421.66,419.84,23.46,7.82,151.52,154,69.4,586,Negative
511.24,421.68,419.82,24.44,9.78,151.52,154,73.31,559,Negative
511.24,421.82,419.93,28.35,10.75,151.52,154,82.11,552,Negative
511.24,421.7,419.96,26.39,-12.71,151.52,154,89.93,532,Negative
511.24,421.66,419.84,5.87,-27.37,151.52,153,91.89,595,Negative
511.24,421.68,419.81,7.82,-25.42,151.52,153,95.8,527,Negative
511.24,421.78,419.91,13.69,-15.64,151.52,154,91.89,540,Negative
511.24,421.77,419.96,29.33,12.71,151.52,153,78.2,509,Negative
511.24,421.68,419.84,24.44,9.78,151.52,153,68.43,578,Negative
511.24,421.68,419.82,22.48,-8.8,151.52,153,67.45,595,Negative
511.24,421.84,419.96,31.28,6.84,151.52,154,41.06,501,Negative
511.24,421.82,419.96,-14.66,-36.17,151.52,153,46.92,572,Negative
511.24,421.71,419.84,-67.45,-79.18,151.52,153,-48.88,531,Negative
511.24,421.73,419.86,-174.0,-97.75,151.52,153,-111.44,560,Negative
511.24,421.78,419.95,-133.92,-104.59,151.52,154,-192.57,515,Negative
511.24,421.7,419.84,10022.48,-152.49,151.52,154,-80.16,575,Mine
511.24,421.73,419.86,-105.57,-122.19,151.52,154,1.96,555,Negative
511.24,421.82,419.95,-113.39,-152.49,151.52,153,-17.6,521,Negative
511.24,421.68,419.84,-85.04,-87.98,150.54,154,19.55,576,Negative
511.24,421.73,419.84,-11.73,-48.88,151.52,153,67.45,556,Negative
511.24,421.73,419.95,8.8,-30.3,150.54,154,70.38,588,Negative
511.24,421.85,419.95,-18.57,-69.4,151.52,154,50.83,1098,Mine
511.24,421.8,419.95,9.78,-8.8,150.54,153,58.65,523,Negative
511.24,421.73,419.81,21.51,-3.91,151.52,154,104.59,525,Negative
511.24,421.73,419.84,27.37,-29.33,150.54,154,116.32,527,Negative
511.24,421.8,419.95,14.66,-25.42,151.52,154,114.37,583,Negative
511.24,421.73,419.95,26.39,9.78,150.54,154,98.73,594,Negative
511.24,421.7,419.84,33.24,15.64,151.52,153,84.07,503,Negative
511.24,421.71,419.84,41.06,18.57,151.52,153,76.25,579,Negative
511.24,421.82,419.95,39.1,16.62,151.52,154,76.25,570,Negative
511.24,421.84,419.95,41.06,22.48,151.52,153,9775.17,502,Mine
511.24,421.73,419.84,10026.39,-157.38,150.54,153,9775.17,539,Mine
511.24,421.71,419.84,9956.99,10026.39,151.52,153,9775.17,560,Mine
511.24,421.84,419.96,9918.87,10021.51,150.54,153,9775.17,1044,Mine
511.24,421.84,419.95,9933.53,10049.85,150.54,154,9775.17,583,Mine
511.24,421.71,419.82,9935.48,10037.15,151.52,154,9775.17,533,Mine
511.24,421.73,419.84,9928.64,9991.2,150.54,154,9775.17,593,Mine
511.24,421.84,419.95,9911.05,9996.09,150.54,153,9775.17,535,Mine
511.24,421.78,419.98,9918.87,10043.01,151.52,154,9775.17,1006,Mine
511.24,421.78,419.96,9938.42,10040.08,150.54,154,9775.17,550,Mine
511.24,421.73,419.86,9929.62,9992.18,150.54,153,9775.17,557,Mine
511.24,421.73,419.84,9912.02,9995.11,150.54,153,9775.17,579,Mine
511.24,421.84,419.96,9915.93,10047.9,151.52,152,9775.17,505,Mine
511.24,421.75,419.84,9931.57,10039.1,153.47,155,9808.41,522,Mine
511.24,421.7,419.84,9942.33,10000.0,153.47,155,9808.41,569,Mine
511.24,421.75,420.0,9928.64,9995.11,153.47,155,9807.43,507,Mine
511.24,421.85,419.95,9930.6,10048.88,154.45,155,9810.36,517,Mine
511.24,421.85,419.98,17.6,-19.55,151.52,154,86.02,567,Negative
511.24,421.73,419.88,0.0,-35.19,152.49,153,89.93,573,Negative
511.24,421.73,419.89,-0.98,-35.19,152.49,153,91.89,577,Negative
511.24,421.8,419.98,8.8,-23.46,152.49,153,87.0,598,Negative
511.24,421.82,419.96,16.62,2.93,151.52,153,82.11,599,Negative
511.24,421.71,419.86,24.44,5.87,152.49,153,77.22,552,Negative
511.24,421.75,419.84,27.37,5.87,151.52,153,74.29,596,Negative
511.24,421.75,419.88,9948.19,10043.01,154.45,156,9810.36,576,Mine
511.24,421.71,419.84,9946.24,9998.04,154.45,155,9810.36,537,Mine
511.24,421.8,419.96,9930.6,9987.29,154.45,155,9811.34,533,Mine
511.24,421.85,419.95,9927.66,10039.1,154.45,156,9812.32,556,Mine
511.24,421.73,419.84,9947.21,10045.94,154.45,155,9811.34,591,Mine
511.24,421.7,419.82,9950.15,10031.28,154.45,155,9811.34,576,Mine
511.24,421.85,419.95,9933.53,9986.31,154.45,156,9810.36,595,Mine
511.24,421.73,419.95,9926.69,10022.48,153.47,156,9811.34,519,Mine
511.24,421.75,419.86,9941.35,10044.97,153.47,156,9811.34,544,Mine
511.24,421.7,419.95,9947.21,10034.21,152.49,154,511.24,545,Mine
511.24,421.85,419.95,87.98,-80.16,151.52,153,511.24,566,Negative
511.24,421.73,419.86,213.1,51.81,151.52,153,511.24,528,Negative
511.24,421.75,419.84,295.21,156.4,151.52,154,511.24,555,Negative
511.24,421.84,419.98,333.33,204.3,152.49,154,511.24,522,Negative
511.24,421.73,419.88,339.2,203.32,152.49,154,391.01,513,Negative
511.24,421.75,419.88,138.81,135.87,151.52,155,232.65,1027,Mine
511.24,421.73,419.86,161.29,105.57,152.49,154,266.86,551,Negative
511.24,421.85,419.96,167.16,136.85,152.49,153,187.68,543,Negative
511.24,421.7,419.86,167.16,129.03,152.49,154,217.99,569,Negative
511.24,421.73,419.86,173.02,96.77,152.49,154,271.75,542,Negative
511.24,421.73,419.96,138.81,96.77,151.52,153,209.19,560,Negative
511.24,421.85,419.96,130.01,116.32,152.49,154,149.56,560,Negative
511.24,421.71,419.86,142.72,110.46,152.49,154,170.09,1030,Mine
511.24,421.71,419.86,133.92,106.55,152.49,154,164.22,551,Negative
511.24,421.7,419.96,75.27,52.79,152.49,154,116.32,598,Negative
511.24,421.84,419.96,45.94,3.91,151.52,154,144.67,526,Negative
511.24,421.75,419.86,26.39,-11.73,151.52,154,78.2,562,Negative
511.24,421.73,419.86,5.87,-25.42,152.49,154,75.27,581,Negative
511.24,421.68,419.95,28.35,13.69,151.52,154,75.27,593,Negative
511.24,421.84,419.98,-12.71,-9.78,152.49,154,20.53,1082,Mine
511.24,421.84,419.98,-39.1,-43.99,152.49,153,52.79,530,Negative
511.24,421.7,419.86,-4.89,-20.53,152.49,154,59.63,562,Negative
511.24,421.75,419.88,7.82,-13.69,152.49,154,65.49,541,Negative
511.24,421.84,419.96,14.66,-4.89,151.52,154,74.29,592,Negative
511.24,421.82,419.95,27.37,4.89,151.52,154,74.29,592,Negative
511.24,421.84,419.95,27.37,5.87,152.49,154,74.29,510,Negative
511.24,421.73,419.86,26.39,7.82,151.52,154,76.25,532,Negative
511.24,421.7,419.84,28.35,8.8,152.49,153,78.2,557,Negative
511.24,421.7,419.96,29.33,-0.98,152.49,153,87.98,514,Negative
511.24,421.84,419.95,19.55,-20.53,152.49,153,90.91,549,Negative
511.24,421.7,419.84,4.89,-26.39,151.52,154,95.8,578,Negative
511.24,421.75,419.84,8.8,-24.44,152.49,153,97.75,550,Negative
511.24,421.7,419.95,15.64,-0.98,152.49,153,88.95,571,Negative
511.24,421.82,419.96,30.3,10.75,151.52,153,81.13,524,Negative
511.24,421.71,419.88,32.26,12.71,152.49,153,76.25,554,Negative
511.24,421.68,419.86,29.33,7.82,152.49,153,76.25,599,Negative
511.24,421.75,419.86,26.39,11.73,152.49,153,78.2,550,Negative
511.24,421.84,419.96,24.44,-7.82,152.49,154,80.16,1006,Mine
511.24,421.84,419.96,15.64,15.64,152.49,154,63.54,1096,Mine
511.24,421.8,419.96,-17.6,-7.82,152.49,154,67.45,533,Negative
511.24,421.73,419.84,7.82,-4.89,151.52,154,69.4,546,Negative
511.24,421.71,419.84,16.62,-2.93,152.49,153,70.38,570,Negative
511.24,421.84,419.95,21.51,0.0,152.49,154,73.31,536,Negative
511.24,421.84,419.96,23.46,2.93,152.49,154,75.27,561,Negative
511.24,421.68,419.88,25.42,6.84,152.49,153,76.25,600,Negative
511.24,421.7,419.86,29.33,7.82,152.49,154,74.29,589,Negative
511.24,421.7,419.86,29.33,9.78,152.49,154,75.27,532,Negative
511.24,421.8,419.95,28.35,13.69,151.52,154,79.18,582,Negative
511.24,421.84,419.96,29.33,-2.93,151.52,154,87.98,528,Negative
511.24,421.75,419.88,17.6,-22.48,152.49,153,89.93,532,Negative
511.24,421.68,419.82,5.87,-26.39,152.49,153,93.84,581,Negative
511.24,421.84,419.96,6.84,-26.39,151.52,153,93.84,591,Negative
511.24,421.8,419.96,12.71,-1.96,151.52,154,86.02,1057,Mine
511.24,421.68,419.86,-3.91,-51.81,152.49,153,88.95,587,Negative
511.24,421.7,419.86,0.98,-42.03,152.49,154,90.91,523,Negative
511.24,421.73,419.96,8.8,-25.42,151.52,153,83.09,589,Negative
511.24,421.82,419.96,26.39,1.96,152.49,153,79.18,501,Negative
511.24,421.73,419.88,29.33,5.87,152.49,154,76.25,563,Negative
511.24,421.75,419.86,29.33,6.84,152.49,153,75.27,509,Negative
511.24,421.73,419.88,29.33,6.84,152.49,153,75.27,581,Negative
511.24,421.8,419.96,28.35,8.8,152.49,153,76.25,516,Negative
511.24,421.78,419.98,28.35,9.78,152.49,153,77.22,536,Negative
511.24,421.68,419.88,30.3,4.89,152.49,154,84.07,579,Negative
511.24,421.68,419.86,30.3,-6.84,151.52,154,88.95,559,Negative
511.24,421.73,419.96,14.66,-21.51,152.49,153,92.86,529,Negative
511.24,421.78,419.98,4.89,-25.42,152.49,153,95.8,535,Negative
511.24,421.7,419.86,8.8,-26.39,152.49,153,92.86,500,Negative
511.24,421.71,419.86,17.6,5.87,152.49,154,87.98,506,Negative
511.24,421.68,419.93,24.44,7.82,152.49,154,82.11,542,Negative
511.24,421.82,419.95,-39.1,-26.39,152.49,153,10045.94,536,Mine
511.24,421.68,419.86,-193.55,-111.44,151.52,153,-142.72,553,Negative
511.24,421.73,419.86,-137.83,-115.35,152.49,153,-38.12,520,Negative
511.24,421.84,419.95,-123.17,-132.94,152.49,154,13.69,596,Negative
511.24,421.75,419.86,-78.2,-78.2,152.49,154,30.3,507,Negative
511.24,421.71,419.84,-31.28,-55.72,152.49,153,51.81,1084,Mine
511.24,421.73,419.86,-33.24,-37.15,151.52,154,49.85,567,Negative
511.24,421.77,419.91,-4.89,-26.39,152.49,153,61.58,502,Negative
511.24,421.73,419.96,5.87,-9.78,152.49,153,70.38,554,Negative
511.24,421.73,419.86,11.73,-26.39,152.49,154,82.11,506,Negative
511.24,421.71,419.84,-4.89,-41.06,152.49,153,87.98,590,Negative
511.24,421.78,419.96,-3.91,-35.19,151.52,153,89.93,595,Negative
